generation, evaluations, valid_rate, hypervolume, timestamp
0, 300, 0.216666666667, 0.284437, 1460496876.57
1, 600, 0.323333333333, 0.311927, 1460496877.89
2, 900, 0.35, 0.341354, 1460496879.22
3, 1200, 0.37, 0.341719, 1460496880.51
4, 1500, 0.36, 0.355425, 1460496881.83
5, 1800, 0.333333333333, 0.355446, 1460496883.21
6, 2100, 0.346666666667, 0.357792, 1460496884.59
7, 2400, 0.346666666667, 0.361147, 1460496885.98
8, 2700, 0.346666666667, 0.365259, 1460496887.43
9, 3000, 0.34, 0.364465, 1460496888.87
10, 3300, 0.353333333333, 0.366453, 1460496890.3
11, 3600, 0.366666666667, 0.365202, 1460496891.75
12, 3900, 0.37, 0.36715, 1460496893.4
13, 4200, 0.386666666667, 0.367812, 1460496894.75
14, 4500, 0.37, 0.369933, 1460496896.13
15, 4800, 0.376666666667, 0.370057, 1460496897.49
16, 5100, 0.366666666667, 0.370246, 1460496898.87
17, 5400, 0.373333333333, 0.372355, 1460496900.22
18, 5700, 0.373333333333, 0.372169, 1460496901.59
19, 6000, 0.356666666667, 0.372543, 1460496902.93
20, 6300, 0.366666666667, 0.372946, 1460496904.32
